build_y,year,month,day,dong,price,apt_nm,size,jibun,ji_code,floor
1994,2018,1,2, 범어동,"    30,700",우방청솔맨션,59.94,88,27260,17
2003,2018,1,2, 범어동,"    48,500",태왕유성하이빌,84.9686,614-3,27260,20
2000,2018,1,2, 범어동,"    54,000",범어청구푸른마을,134.4475,614-100,27260,14
1985,2018,1,2, 범어동,"    59,500",가든하이츠1,84.945,300,27260,10
2015,2018,1,3, 범어동,"    53,000",e편한세상범어,84.7725,2240,27260,4
1988,2018,1,3, 범어동,"    69,500",장원맨션,121.34,산103,27260,3
2008,2018,1,3, 범어동,"    80,000",범어월드메르디앙웨스턴카운티,132.6887,966-1,27260,11
2009,2018,1,3, 범어동,"   120,000",범어쌍용예가,159.3037,808,27260,24
2015,2018,1,4, 범어동,"    57,300",e편한세상범어,84.791,2240,27260,23
2005,2018,1,4, 범어동,"    70,000",코오롱하늘채수,134.682,792-19,27260,11
1985,2018,1,4, 범어동,"    89,000",가든하이츠1,129.18,300,27260,9
1994,2018,1,5, 범어동,"    43,500",우방청솔맨션,84.97,88,27260,22
2003,2018,1,5, 범어동,"    48,900",태왕유성하이빌,84.9686,614-3,27260,4
1987,2018,1,5, 범어동,"    53,000",을지맨션,79.902,314-2,27260,7
2008,2018,1,6, 범어동,"    78,000",범어월드메르디앙웨스턴카운티,168.6761,966-1,27260,1
1987,2018,1,6, 범어동,"    53,500",을지맨션,79.74,314-2,27260,10
2010,2018,1,6, 범어동,"    65,000",범어STX칸,84.8151,800-3,27260,27
2015,2018,1,6, 범어동,"    58,500",e편한세상범어,84.791,2240,27260,28
2009,2018,1,6, 범어동,"   126,000",두산위브더제니스,137.0619,179,27260,48
2015,2018,1,6, 범어동,"    56,500",e편한세상범어,84.7725,2240,27260,14
2009,2018,1,6, 범어동,"   111,000",두산위브더제니스,134.8251,179,27260,7
1982,2018,1,6, 범어동,"    65,000",경남타운,84.55,320,27260,9
2008,2018,1,8, 범어동,"    55,500",범어월드메르디앙이스턴카운티,84.985,2100,27260,6
2000,2018,1,8, 범어동,"    52,000",범어청구하이츠,84.96,88-6,27260,8
2007,2018,1,9, 범어동,"    35,300",수성태왕아너스,84.8438,1266,27260,2
2008,2018,1,10, 범어동,"    89,900",범어월드메르디앙웨스턴카운티,168.6761,966-1,27260,15
1984,2018,1,10, 범어동,"    47,500",우방범어타운2,75.705,650,27260,3
2009,2018,1,10, 범어동,"    74,000",범어쌍용예가,115.2158,808,27260,3
1996,2018,1,10, 범어동,"    23,200",청구성조타운,59.455,2017,27260,13
1981,2018,1,10, 범어동,"    19,900",범어아진(665-1),49.89,665-1,27260,4
2017,2018,1,11, 범어동,"    21,500",마크팰리스범어,42.6363,177-3,27260,19
2009,2018,1,11, 범어동,"    70,000",범어역우방유쉘,115.3747,35-1,27260,38
1984,2018,1,11, 범어동,"    51,400",우방범어타운2,84.8,650,27260,3
2010,2018,1,11, 범어동,"    90,000",범어STX칸,124.2636,800-3,27260,6
2007,2018,1,11, 범어동,"    70,000",화성파크리젠시,125.0423,43-5,27260,22
2008,2018,1,12, 범어동,"    78,000",범어월드메르디앙웨스턴카운티,132.6887,966-1,27260,4
1982,2018,1,12, 범어동,"    65,000",경남타운,84.55,320,27260,3
1984,2018,1,12, 범어동,"    50,800",우방범어타운2,84.978,650,27260,2
2013,2018,1,12, 범어동,"    60,000",범어숲화성파크드림S,84.8939,2237,27260,28
2014,2018,1,12, 범어동,"    51,500",화산샬레,72.18,2238,27260,13
2007,2018,1,12, 범어동,"    48,000",범어유림노르웨이숲2차,70.1295,908-4,27260,13
1985,2018,1,13, 범어동,"    63,000",가든하이츠1,84.945,300,27260,8
2015,2018,1,13, 범어동,"    57,500",e편한세상범어,84.791,2240,27260,20
2009,2018,1,13, 범어동,"    83,000",범어쌍용예가,115.2158,808,27260,24
2010,2018,1,13, 범어동,"    74,000",범어삼성쉐르빌,84.9356,77-7,27260,16
1987,2018,1,13, 범어동,"    37,000",범어목련,59.43,341,27260,4
1994,2018,1,13, 범어동,"    27,900",우방청솔맨션,59.94,88,27260,5
2013,2018,1,13, 범어동,"    67,500",범어숲화성파크드림S,94.7968,2237,27260,30
2015,2018,1,14, 범어동,"    57,800",e편한세상범어,84.791,2240,27260,12
