build_y,year,month,day,dong,price,apt_nm,size,jibun,ji_code,floor
1979,2020,1,10, 동인동1가,"    27,500",동인태평78,63.5,116,27110,5
2013,2020,1,4, 삼덕동3가,"    27,000",삼덕청아람,39.6472,383,27110,19
2013,2020,1,16, 삼덕동3가,"    40,000",삼덕청아람,59.989,383,27110,19
2013,2020,1,18, 삼덕동3가,"    55,500",삼덕청아람,84.7978,383,27110,16
2013,2020,1,29, 삼덕동3가,"    28,500",삼덕청아람,39.6472,383,27110,12
2013,2020,1,31, 삼덕동3가,"    40,600",삼덕청아람,59.989,383,27110,15
2006,2020,1,13, 봉산동,"    38,500",봉산뜨란채,84.6,110,27110,2
1985,2020,1,2, 태평로1가,"    24,000",태평라이프,54.6,1-187,27110,5
1985,2020,1,31, 태평로1가,"    20,700",태평라이프,54.6,1-187,27110,10
2014,2020,1,31, 교동,"     5,278",노마즈하우스,12.652,8,27110,16
1976,2020,1,12, 도원동,"    24,000",도원,38.91,3-5,27110,4
2017,2020,1,1, 수창동,"    55,200",대구역센트럴자이,84.6421,173,27110,28
2017,2020,1,3, 수창동,"    41,800",대구역센트럴자이,59.6032,173,27110,12
2017,2020,1,11, 수창동,"    56,500",대구역센트럴자이,84.6421,173,27110,33
2017,2020,1,14, 수창동,"    52,000",대구역센트럴자이,84.4712,173,27110,10
2017,2020,1,14, 수창동,"    58,700",대구역센트럴자이,84.6421,173,27110,23
2017,2020,1,15, 수창동,"    50,000",대구역센트럴자이,72.8353,173,27110,32
2017,2020,1,18, 수창동,"    41,800",대구역센트럴자이,59.6032,173,27110,39
2017,2020,1,22, 수창동,"    59,800",대구역센트럴자이,84.6421,173,27110,38
2003,2020,1,17, 서성로1가,"    19,500",서성로훼밀리타운,99.09,19,27110,3
2007,2020,1,3, 계산동2가,"    65,000",미소시티,151.55,100,27110,6
2007,2020,1,7, 계산동2가,"    55,000",미소시티,124.15,100,27110,26
2007,2020,1,9, 계산동2가,"    57,000",미소시티,138.16,100,27110,19
2007,2020,1,11, 계산동2가,"    68,000",미소시티,157.22,100,27110,21
2007,2020,1,29, 계산동2가,"    56,300",미소시티,134.27,100,27110,10
1986,2020,1,11, 동산동,"    13,800",동산맨션,47.17,357,27110,10
1986,2020,1,12, 동산동,"    12,000",동산맨션,41.98,357,27110,13
1986,2020,1,24, 동산동,"    12,000",동산맨션,41.98,357,27110,8
2006,2020,1,3, 대신동,"    39,200",태왕아너스스카이,75.9791,305-1,27110,8
2015,2020,1,4, 대신동,"    54,600",대신 센트럴자이,84.838,2106,27110,2
2015,2020,1,5, 대신동,"    55,400",대신 센트럴자이,84.924,2106,27110,21
1985,2020,1,7, 대신동,"    36,800",동서,83.06,1450,27110,4
