,대여날짜,대여년,대여월,대여일,대여시,대여량
0,'2017-04-01,2017,04,01,00,177
1,'2017-04-01,2017,04,01,01,154
2,'2017-04-01,2017,04,01,02,121
3,'2017-04-01,2017,04,01,03,74
4,'2017-04-01,2017,04,01,04,54
5,'2017-04-01,2017,04,01,05,31
6,'2017-04-01,2017,04,01,06,65
7,'2017-04-01,2017,04,01,07,112
8,'2017-04-01,2017,04,01,08,199
9,'2017-04-01,2017,04,01,09,244
10,'2017-04-01,2017,04,01,10,260
11,'2017-04-01,2017,04,01,11,325
12,'2017-04-01,2017,04,01,12,407
13,'2017-04-01,2017,04,01,13,514
14,'2017-04-01,2017,04,01,14,770
15,'2017-04-01,2017,04,01,15,527
16,'2017-04-01,2017,04,01,16,528
17,'2017-04-01,2017,04,01,17,655
18,'2017-04-01,2017,04,01,18,544
19,'2017-04-01,2017,04,01,19,356
20,'2017-04-01,2017,04,01,20,311
21,'2017-04-01,2017,04,01,21,272
22,'2017-04-01,2017,04,01,22,237
23,'2017-04-01,2017,04,01,23,191
24,'2017-04-02,2017,04,02,00,144
25,'2017-04-02,2017,04,02,01,106
26,'2017-04-02,2017,04,02,02,63
27,'2017-04-02,2017,04,02,03,63
28,'2017-04-02,2017,04,02,04,51
29,'2017-04-02,2017,04,02,05,21
30,'2017-04-02,2017,04,02,06,26
31,'2017-04-02,2017,04,02,07,57
32,'2017-04-02,2017,04,02,08,127
33,'2017-04-02,2017,04,02,09,175
34,'2017-04-02,2017,04,02,10,246
35,'2017-04-02,2017,04,02,11,339
36,'2017-04-02,2017,04,02,12,525
37,'2017-04-02,2017,04,02,13,752
38,'2017-04-02,2017,04,02,14,862
39,'2017-04-02,2017,04,02,15,1150
40,'2017-04-02,2017,04,02,16,1201
41,'2017-04-02,2017,04,02,17,901
42,'2017-04-02,2017,04,02,18,584
43,'2017-04-02,2017,04,02,19,495
44,'2017-04-02,2017,04,02,20,495
45,'2017-04-02,2017,04,02,21,351
46,'2017-04-02,2017,04,02,22,264
47,'2017-04-02,2017,04,02,23,191
48,'2017-04-03,2017,04,03,00,154
49,'2017-04-03,2017,04,03,01,62
50,'2017-04-03,2017,04,03,02,51
51,'2017-04-03,2017,04,03,03,43
52,'2017-04-03,2017,04,03,04,28
53,'2017-04-03,2017,04,03,05,57
54,'2017-04-03,2017,04,03,06,139
55,'2017-04-03,2017,04,03,07,421
56,'2017-04-03,2017,04,03,08,744
57,'2017-04-03,2017,04,03,09,344
58,'2017-04-03,2017,04,03,10,227
59,'2017-04-03,2017,04,03,11,314
60,'2017-04-03,2017,04,03,12,421
61,'2017-04-03,2017,04,03,13,371
62,'2017-04-03,2017,04,03,14,414
63,'2017-04-03,2017,04,03,15,444
64,'2017-04-03,2017,04,03,16,548
65,'2017-04-03,2017,04,03,17,696
66,'2017-04-03,2017,04,03,18,1036
67,'2017-04-03,2017,04,03,19,747
68,'2017-04-03,2017,04,03,20,563
69,'2017-04-03,2017,04,03,21,576
70,'2017-04-03,2017,04,03,22,495
71,'2017-04-03,2017,04,03,23,288
72,'2017-04-04,2017,04,04,00,194
73,'2017-04-04,2017,04,04,01,108
74,'2017-04-04,2017,04,04,02,73
75,'2017-04-04,2017,04,04,03,51
76,'2017-04-04,2017,04,04,04,41
77,'2017-04-04,2017,04,04,05,58
78,'2017-04-04,2017,04,04,06,141
79,'2017-04-04,2017,04,04,07,438
80,'2017-04-04,2017,04,04,08,842
81,'2017-04-04,2017,04,04,09,399
82,'2017-04-04,2017,04,04,10,260
83,'2017-04-04,2017,04,04,11,349
84,'2017-04-04,2017,04,04,12,477
85,'2017-04-04,2017,04,04,13,435
86,'2017-04-04,2017,04,04,14,490
87,'2017-04-04,2017,04,04,15,524
88,'2017-04-04,2017,04,04,16,579
89,'2017-04-04,2017,04,04,17,707
90,'2017-04-04,2017,04,04,18,1044
91,'2017-04-04,2017,04,04,19,764
92,'2017-04-04,2017,04,04,20,587
93,'2017-04-04,2017,04,04,21,629
94,'2017-04-04,2017,04,04,22,523
95,'2017-04-04,2017,04,04,23,346
96,'2017-04-05,2017,04,05,00,208
97,'2017-04-05,2017,04,05,01,143
98,'2017-04-05,2017,04,05,02,89
99,'2017-04-05,2017,04,05,03,61
100,'2017-04-05,2017,04,05,04,40
101,'2017-04-05,2017,04,05,05,62
102,'2017-04-05,2017,04,05,06,134
