측정일시,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
2019-06-16 00:00:00,16,19,21,18,25,20,22,22,18,17,14,22,0,20,19,19,0,27,21,26,11,18,16,15,12
2019-06-16 01:00:00,16,20,18,17,25,17,16,25,18,15,14,22,20,11,22,14,22,24,22,25,11,19,14,13,14
2019-06-16 02:00:00,16,19,18,16,20,0,0,25,17,20,13,22,22,11,23,18,0,23,21,22,11,16,14,14,11
2019-06-16 03:00:00,15,17,17,17,20,0,15,24,14,16,12,21,24,12,23,16,18,23,18,23,8,15,17,13,8
2019-06-16 04:00:00,13,16,13,12,21,15,15,16,11,17,9,21,20,14,17,16,12,0,16,17,9,14,11,10,7
2019-06-16 05:00:00,14,15,13,12,16,0,0,13,12,13,7,20,17,11,17,16,12,20,14,19,5,15,12,8,7
2019-06-16 06:00:00,13,15,12,10,15,23,17,13,13,17,9,19,15,10,0,11,12,19,15,20,8,15,10,10,7
2019-06-16 07:00:00,11,15,7,10,15,19,18,11,11,17,8,16,16,17,21,13,13,15,9,19,4,15,12,8,3
2019-06-16 08:00:00,11,10,8,7,16,15,18,9,7,10,6,16,0,12,17,14,15,17,10,16,0,20,8,9,3
2019-06-16 09:00:00,13,8,8,8,15,0,11,11,10,13,3,13,13,9,17,11,17,15,11,16,0,13,6,7,0
2019-06-16 10:00:00,6,9,9,0,8,0,14,8,8,11,3,13,13,8,10,8,12,11,10,14,4,0,5,6,0
2019-06-16 11:00:00,8,7,8,8,11,0,11,6,9,12,6,12,10,11,11,13,5,8,9,16,4,8,4,5,8
2019-06-16 12:00:00,8,5,14,9,15,11,10,7,11,10,5,12,11,11,10,13,8,17,10,0,3,11,8,9,0
2019-06-16 13:00:00,7,8,15,8,14,0,16,9,12,7,4,12,0,8,11,9,8,4,8,18,4,0,11,7,6
2019-06-16 14:00:00,8,9,10,13,13,9,19,10,9,10,7,13,15,12,11,10,12,10,15,24,5,0,9,9,0
2019-06-16 15:00:00,9,7,10,16,25,9,26,16,13,16,10,14,24,20,22,16,12,13,21,25,4,12,10,8,8
2019-06-16 16:00:00,14,11,13,15,33,21,31,20,10,15,10,25,24,24,22,22,13,18,22,27,12,19,14,12,8
2019-06-16 17:00:00,22,24,22,20,24,28,26,16,15,20,14,23,23,23,30,28,16,30,21,29,19,20,21,16,17
2019-06-16 18:00:00,19,24,21,17,35,27,29,17,21,18,15,23,28,15,31,23,0,31,26,30,16,19,16,17,13
2019-06-16 19:00:00,22,22,21,21,28,31,0,19,16,24,13,26,20,14,30,25,19,30,27,28,15,19,19,15,17
2019-06-16 20:00:00,22,26,24,16,28,24,20,20,19,18,14,24,20,18,24,20,19,18,21,21,14,17,22,15,16
2019-06-16 21:00:00,20,23,24,0,32,27,20,20,19,19,10,20,22,17,24,21,22,21,21,28,11,19,19,12,14
2019-06-16 22:00:00,17,22,23,16,22,25,25,16,22,19,11,19,28,22,21,22,20,22,22,29,15,21,16,16,14
2019-06-16 23:00:00,16,20,21,20,17,24,25,18,23,22,16,17,29,17,21,22,20,25,22,26,15,21,19,15,15
2019-06-17 00:00:00,16,20,20,20,28,26,16,17,23,13,16,17,25,17,21,21,0,22,22,27,13,0,17,18,16
2019-06-17 01:00:00,16,16,20,20,32,18,21,19,22,18,19,14,26,23,14,15,12,17,22,33,14,20,15,17,16
2019-06-17 02:00:00,15,19,18,19,36,0,29,21,22,18,18,15,27,17,0,18,23,22,24,27,11,22,17,18,14
2019-06-17 03:00:00,17,20,17,22,26,23,27,20,19,19,12,17,27,24,19,14,24,24,26,35,9,20,16,16,12
2019-06-17 04:00:00,16,16,17,22,0,25,32,23,18,21,14,25,0,0,0,22,29,20,31,42,15,0,17,17,11
2019-06-17 05:00:00,20,15,27,24,40,26,35,26,21,29,20,33,35,42,32,34,42,26,26,43,23,36,26,26,17
2019-06-17 06:00:00,22,20,24,21,38,33,20,23,23,31,20,26,32,42,37,30,42,37,25,33,19,37,22,23,14
2019-06-17 07:00:00,24,25,28,21,30,44,0,20,24,34,22,25,25,29,36,41,39,38,23,29,16,37,21,23,18
2019-06-17 08:00:00,27,27,25,20,35,43,28,17,24,31,17,22,31,28,35,40,38,40,21,30,15,29,19,22,22
2019-06-17 09:00:00,25,27,26,21,37,34,29,21,21,26,18,26,35,30,39,44,38,38,24,36,14,31,19,18,20
2019-06-17 10:00:00,19,27,23,20,30,33,26,27,23,22,18,25,34,33,0,48,41,22,27,37,17,31,21,20,26
2019-06-17 11:00:00,22,19,24,19,25,29,27,37,23,32,18,27,30,35,29,39,41,22,25,38,20,31,20,21,23
2019-06-17 12:00:00,22,23,27,20,31,31,27,26,23,27,19,26,34,27,31,36,41,25,24,36,18,24,20,21,24
2019-06-17 13:00:00,21,21,30,23,27,0,22,19,20,27,0,23,23,29,29,27,36,24,24,29,19,33,20,18,23
2019-06-17 14:00:00,20,24,30,22,21,30,27,17,25,30,0,23,37,36,29,0,32,28,25,31,14,30,18,20,21
2019-06-17 15:00:00,17,23,33,19,17,27,0,18,29,36,22,23,34,40,27,35,0,28,24,27,19,30,23,20,18
2019-06-17 16:00:00,17,22,34,21,14,27,19,13,28,37,20,16,29,34,29,33,0,21,18,22,17,37,21,21,22
2019-06-17 17:00:00,13,18,28,22,21,23,19,13,28,27,16,16,30,32,32,26,0,0,19,19,10,27,15,14,17
2019-06-17 18:00:00,14,17,19,25,21,19,17,15,20,16,15,18,31,30,32,20,0,20,20,23,12,24,20,17,17
2019-06-17 19:00:00,16,16,20,27,27,18,17,17,15,20,16,18,30,29,17,23,26,15,21,29,11,24,23,17,13
2019-06-17 20:00:00,17,19,20,26,32,25,14,17,18,19,16,20,28,23,19,20,17,21,20,37,13,23,25,20,17
2019-06-17 21:00:00,16,20,17,26,26,21,13,14,17,15,14,15,29,22,19,19,19,22,22,20,10,29,21,17,15
2019-06-17 22:00:00,13,15,17,20,19,15,13,17,17,19,13,17,34,23,20,13,19,15,29,33,11,30,21,19,12
2019-06-17 23:00:00,10,14,14,22,32,0,27,20,18,23,16,18,31,27,17,17,0,16,28,33,13,27,22,22,20
2019-06-18 00:00:00,11,14,10,24,36,15,35,20,22,11,18,15,36,28,23,17,0,0,28,36,11,29,20,22,14
2019-06-18 01:00:00,13,14,11,24,40,14,39,19,22,15,20,19,38,26,23,20,30,18,32,0,11,24,21,20,12
2019-06-18 02:00:00,14,15,13,28,39,22,0,19,20,12,18,19,44,28,0,24,35,17,33,0,14,27,22,22,12
2019-06-18 03:00:00,17,19,17,32,40,0,37,18,16,15,27,22,48,34,25,41,35,36,34,0,19,0,27,25,17
2019-06-18 04:00:00,17,22,21,25,36,28,37,17,22,26,19,20,48,29,27,39,26,27,30,36,17,30,23,30,16
2019-06-18 05:00:00,19,18,20,23,43,27,41,20,20,29,20,21,42,40,0,34,26,25,30,43,15,43,20,28,13
2019-06-18 06:00:00,21,17,17,32,53,0,48,24,18,23,16,26,37,43,37,35,26,23,40,48,18,45,19,30,11
2019-06-18 07:00:00,26,19,20,28,39,27,35,28,18,28,16,34,32,45,34,31,27,31,53,46,20,40,20,20,10
2019-06-18 08:00:00,20,25,29,16,35,28,34,14,21,35,17,21,30,24,0,34,35,31,28,37,15,29,19,21,17
2019-06-18 09:00:00,19,18,19,17,39,0,34,17,20,31,13,22,32,0,36,30,37,25,14,38,12,0,25,16,15
2019-06-18 10:00:00,14,13,19,21,42,32,32,15,16,28,10,22,43,35,35,36,34,33,24,39,11,36,14,16,15
2019-06-18 11:00:00,15,17,24,24,32,33,31,22,19,40,15,22,35,38,31,32,35,26,22,40,15,35,19,20,23
2019-06-18 12:00:00,17,20,28,27,38,0,38,23,18,41,14,25,45,42,35,33,50,34,25,53,15,35,15,21,0
2019-06-18 13:00:00,20,21,29,39,51,34,49,29,19,38,26,32,56,48,37,39,59,32,40,62,19,52,21,23,0
2019-06-18 14:00:00,29,27,32,39,53,45,50,33,28,46,28,36,62,61,43,50,64,41,44,62,26,65,31,34,24
2019-06-18 15:00:00,0,39,36,42,47,53,43,36,31,46,40,44,51,56,52,67,67,55,49,64,31,58,37,38,33
2019-06-18 16:00:00,0,46,43,0,38,0,35,28,33,44,40,40,38,48,48,53,67,42,54,43,36,53,45,44,36
2019-06-18 17:00:00,16,36,46,0,38,0,35,28,33,48,31,31,38,36,42,39,63,32,34,0,23,44,31,33,32
2019-06-18 18:00:00,28,26,36,0,38,29,31,28,28,50,23,32,40,39,41,46,48,36,36,0,25,48,27,26,33
2019-06-18 19:00:00,27,29,44,41,30,30,31,25,36,44,30,30,37,44,39,0,41,47,38,0,27,48,34,29,34
2019-06-18 20:00:00,26,31,41,34,38,0,32,24,37,44,28,30,32,35,29,35,38,33,37,0,25,48,30,29,34
2019-06-18 21:00:00,28,33,36,32,36,0,23,27,30,42,31,30,35,36,28,32,38,29,38,0,25,41,29,27,27
2019-06-18 22:00:00,23,27,40,26,38,0,31,22,29,44,23,24,38,34,27,28,42,26,34,44,21,42,28,26,22
2019-06-18 23:00:00,20,23,32,29,46,0,41,25,27,38,21,25,37,39,32,33,40,36,31,44,22,45,24,25,0
2019-06-19 00:00:00,19,24,27,24,44,0,0,27,26,38,21,27,0,39,0,0,40,0,32,46,22,46,25,26,20
2019-06-19 01:00:00,22,31,30,28,38,0,0,22,27,34,21,29,33,35,33,34,44,38,33,41,21,36,24,23,23
2019-06-19 02:00:00,20,24,31,25,39,0,0,26,27,37,20,29,0,36,32,28,41,34,32,39,20,38,22,22,20
2019-06-19 03:00:00,23,25,33,28,42,0,0,29,24,34,24,31,35,43,32,37,33,36,34,48,22,42,24,22,24
2019-06-19 04:00:00,25,28,35,27,40,31,0,26,26,42,22,33,0,35,37,39,38,42,31,43,21,42,25,25,23
2019-06-19 05:00:00,30,34,40,35,43,29,34,26,32,34,29,32,40,44,37,43,43,38,38,46,24,41,29,29,30
2019-06-19 06:00:00,30,36,34,30,41,31,34,26,34,40,27,34,37,45,0,41,38,39,38,45,25,54,30,32,26
2019-06-19 07:00:00,29,32,32,28,39,0,29,29,33,33,26,34,33,44,39,40,37,41,34,43,24,36,27,28,0
2019-06-19 08:00:00,26,29,29,29,41,29,35,30,26,30,24,33,38,45,37,43,51,39,33,39,22,45,27,30,0
