측정일시,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
2019-06-16 00:00:00,9,12,11,12,17,20,0,16,12,10,11,12,19,12,14,13,15,15,12,17,8,18,11,10,10
2019-06-16 01:00:00,9,13,11,13,15,0,13,19,11,13,9,10,17,12,18,10,10,18,11,17,8,13,11,11,10
2019-06-16 02:00:00,10,14,9,12,17,17,18,19,12,9,10,14,15,11,16,14,15,13,12,15,9,13,10,10,10
2019-06-16 03:00:00,9,11,7,9,18,17,11,17,11,8,6,13,18,11,14,10,12,13,14,15,9,13,12,10,9
2019-06-16 04:00:00,8,12,5,8,18,15,11,11,9,7,8,14,18,10,15,13,10,12,10,14,8,10,7,7,7
2019-06-16 05:00:00,7,9,4,9,11,19,15,11,6,5,9,14,17,7,15,12,10,12,9,11,5,10,8,4,7
2019-06-16 06:00:00,8,10,4,7,10,20,13,10,9,9,7,11,13,8,13,8,10,9,9,13,6,10,7,7,9
2019-06-16 07:00:00,5,11,1,7,10,19,11,9,5,9,6,10,15,11,16,8,9,12,4,17,2,11,4,6,1
2019-06-16 08:00:00,7,8,1,3,10,14,11,7,4,9,4,8,10,8,13,8,10,10,5,12,1,11,4,5,4
2019-06-16 09:00:00,4,6,2,4,7,19,6,8,5,8,1,8,11,5,13,6,9,7,4,10,2,11,6,5,9
2019-06-16 10:00:00,3,6,4,5,4,14,5,6,6,6,3,7,15,5,8,3,10,6,6,11,4,13,3,3,8
2019-06-16 11:00:00,5,2,4,8,10,14,4,5,8,6,2,5,11,5,13,3,4,8,6,11,2,8,2,4,7
2019-06-16 12:00:00,5,3,9,8,10,10,4,5,5,5,5,7,13,8,12,5,6,5,6,11,3,9,6,6,10
2019-06-16 13:00:00,5,7,8,8,10,12,8,6,7,7,4,6,14,6,13,3,10,4,6,9,3,0,7,4,8
2019-06-16 14:00:00,6,7,6,9,9,10,8,7,7,4,8,7,12,6,12,4,9,6,10,14,4,0,6,7,9
2019-06-16 15:00:00,6,7,6,11,19,8,12,10,10,8,7,9,16,10,16,6,11,12,13,13,4,11,8,8,10
2019-06-16 16:00:00,10,8,5,12,18,16,14,14,5,8,9,0,21,12,16,8,11,11,14,20,10,13,9,9,8
2019-06-16 17:00:00,15,13,14,12,11,21,14,11,11,8,11,16,17,13,19,14,11,15,13,23,14,16,11,12,14
2019-06-16 18:00:00,14,16,13,12,20,20,16,11,14,11,12,16,19,11,23,13,16,12,17,18,14,16,10,12,11
2019-06-16 19:00:00,17,16,13,12,18,22,15,11,11,11,12,18,17,13,24,18,14,20,19,15,14,13,13,11,14
2019-06-16 20:00:00,16,20,14,11,14,18,14,19,12,10,9,16,11,13,20,11,14,13,13,16,12,15,12,11,13
2019-06-16 21:00:00,11,15,15,18,22,26,17,0,14,13,7,11,16,12,19,16,8,17,9,17,11,16,8,7,9
2019-06-16 22:00:00,10,15,14,12,11,21,13,11,15,13,9,10,15,14,18,14,11,15,12,17,11,16,10,10,10
2019-06-16 23:00:00,10,16,11,12,10,24,13,11,16,10,11,11,19,13,18,12,11,18,15,19,10,16,10,9,12
2019-06-17 00:00:00,10,14,11,12,18,18,0,11,17,8,12,10,20,13,18,15,16,9,12,20,11,18,10,11,12
2019-06-17 01:00:00,9,12,11,12,18,17,13,12,15,9,13,10,18,14,16,11,12,7,13,19,7,16,9,11,15
2019-06-17 02:00:00,9,14,9,12,25,18,0,13,15,8,12,9,14,15,16,7,13,16,13,19,9,16,11,11,15
2019-06-17 03:00:00,10,13,8,13,16,21,0,13,16,8,7,9,0,15,16,9,12,17,15,26,7,18,11,10,13
