build_y,year,month,day,dong,price,apt_nm,size,jibun,ji_code,floor
2005,2010,1,4, 역삼동,"    70,000",e-편한세상,59.606,755-4,11680,22
2001,2010,1,4, 역삼동,"    19,000",한화진넥스빌,43.58,706-20,11680,21
2002,2010,1,4, 역삼동,"    18,800",대우디오빌,30.03,720-25,11680,18
2007,2010,1,5, 역삼동,"    76,000",쌍용플레티넘밸류,110.57,826-37,11680,13
2002,2010,1,6, 역삼동,"    17,500",대우디오빌,30.03,720-25,11680,7
1978,2010,1,6, 역삼동,"    79,000",성보,101.7,709,11680,12
2005,2010,1,6, 역삼동,"    65,800",역삼래미안,59.4,757,11680,17
2002,2010,1,6, 역삼동,"    20,000",대우디오빌,39.13,720-25,11680,18
2002,2010,1,6, 역삼동,"    17,500",대우디오빌,30.03,720-25,11680,17
2002,2010,1,6, 역삼동,"    20,000",대우디오빌,39.13,720-25,11680,7
2002,2010,1,6, 역삼동,"    17,500",대우디오빌,30.03,720-25,11680,12
2005,2010,1,7, 역삼동,"    71,500",e-편한세상,59.606,755-4,11680,14
2004,2010,1,8, 역삼동,"    29,500",역삼우정에쉐르2,49.38,707-18,11680,5
1979,2010,1,8, 역삼동,"   132,000",개나리5,133.22,716-1,11680,9
2002,2010,1,9, 역삼동,"    53,800",경남아너스빌,84.688,722,11680,9
2006,2010,1,11, 역삼동,"   156,500",개나리 푸르지오,132.8355,755-1,11680,8
2005,2010,1,12, 역삼동,"    69,000",e-편한세상,59.606,755-4,11680,9
2005,2010,1,12, 역삼동,"    71,500",e-편한세상,59.606,755-4,11680,11
2003,2010,1,12, 역삼동,"    43,000",세방하이빌1,59.77,771-4,11680,11
1997,2010,1,13, 역삼동,"    45,500",대림역삼,59.66,761-10,11680,11
1978,2010,1,13, 역삼동,"    65,000",성보,77.77,709,11680,10
1978,2010,1,13, 역삼동,"   111,000",성보,129.6,709,11680,14
1996,2010,1,14, 역삼동,"    19,300",한스빌(836),39.89,836,11680,8
2006,2010,1,15, 역삼동,"   100,800",역삼푸르지오,84.9097,754-1,11680,13
2005,2010,1,16, 역삼동,"    70,000",e-편한세상,59.606,755-4,11680,15
2006,2010,1,16, 역삼동,"   138,000",역삼 I'PARK,116.285,713-11,11680,13
2006,2010,1,18, 역삼동,"    92,000",역삼푸르지오,84.9097,754-1,11680,2
1996,2010,1,19, 역삼동,"    19,000",한스빌(836),39.89,836,11680,3
2002,2010,1,19, 역삼동,"    19,700",대우디오빌,30.03,720-25,11680,17
2005,2010,1,21, 역삼동,"    90,700",e-편한세상,84.991,755-4,11680,1
1978,2010,1,21, 역삼동,"    79,500",성보,101.7,709,11680,4
2001,2010,1,21, 역삼동,"    19,000",한화진넥스빌,39.2,706-20,11680,17
2005,2010,1,21, 역삼동,"    65,000",역삼래미안,59.4,757,11680,4
2006,2010,1,21, 역삼동,"   116,500",상지리츠빌역삼2차,174.83,761-3,11680,2
1998,2010,1,21, 역삼동,"    73,400",동부센트레빌,84.97,716,11680,16
2005,2010,1,22, 역삼동,"    94,000",e-편한세상,84.991,755-4,11680,4
1996,2010,1,22, 역삼동,"    19,500",한스빌(836),39.89,836,11680,9
2006,2010,1,23, 역삼동,"    68,000",역삼푸르지오,59.8848,754-1,11680,20
2005,2010,1,25, 역삼동,"    66,000",역삼래미안,59.4,757,11680,4
2005,2010,1,25, 역삼동,"    71,000",e-편한세상,59.606,755-4,11680,5
2004,2010,1,25, 역삼동,"    27,950",대우디오빌플러스,43.99,824-25,11680,8
2007,2010,1,25, 역삼동,"    58,000",쎄비앙 102동,125.36,778-5,11680,5
1978,2010,1,27, 역삼동,"    80,000",성보,101.7,709,11680,15
2009,2010,1,28, 역삼동,"   115,000",래미안그레이튼,84.97,763-16,11680,13
2007,2010,1,28, 역삼동,"   150,000",래미안펜타빌,157.41,713-7,11680,11
2002,2010,1,30, 역삼동,"    52,900",경남아너스빌,84.688,722,11680,13
2004,2010,1,30, 역삼동,"    53,000",정원,96.58,828-46,11680,2
2002,2010,1,30, 역삼동,"    41,000",갤러리아트,81.18,783-28,11680,4
1982,2010,1,4, 개포동,"    72,400",개포주공 1단지,35.64,141,11680,5
1982,2010,1,4, 개포동,"   109,800",개포주공 1단지,49.56,141,11680,4
1987,2010,1,4, 개포동,"    76,300",우성8,79.61,179,11680,1
1982,2010,1,4, 개포동,"    66,900",개포주공 4단지,35.64,189,11680,4
1984,2010,1,5, 개포동,"    72,800",시영,40.53,656,11680,2
1984,2010,1,5, 개포동,"    72,900",시영,40.53,656,11680,1
1984,2010,1,5, 개포동,"    88,000",개포우성3차,104.43,652,11680,2
1984,2010,1,5, 개포동,"    93,000",시영,51.18,656,11680,1
2000,2010,1,5, 개포동,"    35,000",새롬(1164-13),59.67,1164-13,11680,3
1992,2010,1,6, 개포동,"    43,000",성원대치2단지아파트,39.53,12,11680,5
1982,2010,1,6, 개포동,"    68,000",개포주공 4단지,35.87,189,11680,1
1982,2010,1,6, 개포동,"    94,000",개포주공 3단지,42.55,138,11680,4
1982,2010,1,7, 개포동,"    71,750",개포주공 3단지,35.87,138,11680,2
1984,2010,1,7, 개포동,"   103,000",경남1,96.98,649,11680,8
1982,2010,1,7, 개포동,"   100,000",개포주공 1단지,50.38,141,11680,3
1983,2010,1,7, 개포동,"    77,500",개포주공 6단지,60.13,185,11680,5
1982,2010,1,8, 개포동,"    84,200",개포주공 1단지,42.55,141,11680,4
