build_y,year,month,day,size,floor,Room,Bathroom,price
1979,2010,1,5,76.79,8,3,1,"   100,500"
1979,2010,1,6,76.79,1,3,1,"    95,000"
1979,2010,1,8,76.79,9,3,1,"    97,000"
1979,2010,1,9,76.79,8,3,1,"   103,000"
1979,2010,1,10,76.79,9,3,1,"    98,000"
1979,2010,1,14,76.79,6,3,1,"    98,000"
1979,2010,1,16,76.79,1,3,1,"    97,000"
1979,2010,1,22,76.79,4,3,1,"    99,700"
1979,2010,1,23,76.79,13,3,1,"   101,800"
1979,2010,2,8,76.79,5,3,1,"    99,900"
1979,2010,2,10,76.79,4,3,1,"   103,000"
1979,2010,2,12,76.79,1,3,1,"    98,000"
1979,2010,2,19,76.79,14,3,1,"    98,000"
1979,2010,2,23,76.79,13,3,1,"    98,500"
1979,2010,3,4,76.79,1,3,1,"    96,000"
1979,2010,3,4,76.79,6,3,1,"    98,500"
1979,2010,3,11,76.79,7,3,1,"   100,850"
1979,2010,3,15,76.79,4,3,1,"   101,900"
1979,2010,4,23,76.79,12,3,1,"    92,000"
1979,2010,5,13,76.79,10,3,1,"    89,000"
1979,2010,5,20,76.79,2,3,1,"    86,700"
1979,2010,5,20,76.79,5,3,1,"    87,000"
1979,2010,5,28,76.79,7,3,1,"    87,900"
1979,2010,6,12,76.79,4,3,1,"    86,000"
1979,2010,6,21,76.79,10,3,1,"    87,500"
1979,2010,6,28,76.79,2,3,1,"    87,500"
1979,2010,7,2,76.79,6,3,1,"    88,000"
1979,2010,7,12,76.79,2,3,1,"    83,500"
1979,2010,7,13,76.79,5,3,1,"    87,000"
1979,2010,7,28,76.79,6,3,1,"    85,000"
1979,2010,7,30,76.79,7,3,1,"    88,000"
1979,2010,8,2,76.79,7,3,1,"    89,000"
1979,2010,8,10,76.79,2,3,1,"    84,400"
1979,2010,8,10,76.79,14,3,1,"    84,000"
1979,2010,8,11,76.79,7,3,1,"    89,000"
1979,2010,8,11,76.79,8,3,1,"    86,000"
1979,2010,8,13,76.79,14,3,1,"    86,800"
1979,2010,8,20,76.79,14,3,1,"    85,000"
1979,2010,8,22,76.79,3,3,1,"    87,900"
1979,2010,8,24,76.79,8,3,1,"    90,000"
1979,2010,8,27,76.79,9,3,1,"    88,000"
1979,2010,9,3,76.79,7,3,1,"    90,700"
1979,2010,9,8,76.79,11,3,1,"    88,000"
1979,2010,9,14,76.79,14,3,1,"    88,000"
1979,2010,9,18,76.79,12,3,1,"    88,250"
1979,2010,10,2,76.79,10,3,1,"    89,000"
1979,2010,10,7,76.79,6,3,1,"    88,000"
1979,2010,10,11,76.79,8,3,1,"    90,000"
1979,2010,10,12,76.79,13,3,1,"    88,000"
1979,2010,10,14,76.79,1,3,1,"    86,000"
1979,2010,10,25,76.79,8,3,1,"    89,800"
1979,2010,10,27,76.79,7,3,1,"    91,500"
1979,2010,10,27,76.79,10,3,1,"    90,000"
1979,2010,10,27,76.79,8,3,1,"    89,700"
1979,2010,10,29,76.79,8,3,1,"    90,900"
1979,2010,10,31,76.79,14,3,1,"    88,500"
1979,2010,11,1,76.79,6,3,1,"    89,700"
1979,2010,11,4,76.79,13,3,1,"    88,500"
